Tid          Akselerasjon
0.0          10.4217516
0.00276      8.447391
0.00552      9.673428121654602
0.00828      9.899313244320435
0.01104      11.775699540669784
0.0138       9.900612630522232
0.01656      9.25921896914664
0.01932      11.7607708828868
0.02208      9.364909906575663
0.02484      11.744331993330954
0.0276       10.753581080337879
0.03036      9.44525964841407
0.03312      9.820875037140446
0.03588      9.809930336069762
0.03864      9.310579770446934
0.0414       11.669415609574244
0.04416      9.796727371619689
0.04692      10.677292595493652
0.04968      9.539332934168982
0.05244      9.28990488903029
0.0552       9.732434808044369
0.05796      12.494866452973199
0.06072      11.531854379650321
0.06348      11.586013988237596
0.06624      10.158208176440915
0.069        9.592725168711212
0.07176      9.613091226862165
0.07452      9.589477420095456
0.07728      10.66430606661037
0.08004      10.394300062971054
0.0828       9.449344807709467
0.08556      9.26219250009766
0.08832      10.306190734391189
0.09108      9.033273390760721
0.09384      8.79572047999044
0.0966       8.76751136579069
0.09936      9.030744272641188
0.10212      9.087945991953635
0.10488      8.997998718738188
0.10764      10.98971213443941
0.1104       9.204810499138524
0.11316      9.995853759927286
0.11592      9.068941422128926
0.11868      10.896432346754247
0.12144      9.065995064672638
0.1242       9.496504577742742
0.12696      8.921987615388424
0.12972      11.188485965884013
0.13248      8.906316585254658
0.13524      8.846234623029721
0.138        11.03887619159714
0.14076      8.78749966131667
0.14352      8.69040722490793
0.14628      11.195129502965234
0.14904      8.660841941980875
0.1518       8.167705554997662
0.15456      9.021744120065565
0.15732      7.983596607327741
0.16008      9.248423068201255
0.16284      10.552000313815448
0.1656       7.9552769251118765
0.16836      8.34715925058164
0.17112      10.378553117468133
0.17388      8.219846419535568
0.17664      8.184707087668853
0.1794       10.200304453105755
0.18216      9.646626569371364
0.18492      8.028193571683481
0.18768      8.430580506573289
0.19044      7.727327865158739
0.1932       9.47601158881441
0.19596      8.273671324414563
0.19872      7.4046460699914745
0.20148      7.765058509246462
0.20424      7.710936583050791
0.207        7.6629682551303215
0.20976      7.588784700508795
0.21252      7.502175013736341
0.21528      8.927282839877332
0.21804      7.398995458124785
0.2208       7.051408282516757
0.22356      8.740428002981682
0.22632      7.298512747631432
0.22908      7.274266709063179
0.23184      7.221115199294331
0.2346       7.139696522130405
0.23736      7.083554024932308
0.24012      7.397662645334186
0.24288      8.299229218949105
0.24564      6.895316917615971
0.2484       6.867857596594459
0.25116      6.798750197291125
0.25392      6.762659819565904
0.25668      6.70897749618652
0.25944      6.377745646321322
0.2622       7.9057073213576565
0.26496      6.550536422740605
0.26772      6.187715244393312
0.27048      6.4237925491001056
0.27324      6.1779068254907274
0.276        7.063833281853534
0.27876      5.35581698593341
0.28152      6.022371654709857
0.28428      6.156529074712653
0.28704      5.218986564233269
0.2898       7.264007464624493
0.29256      6.3266763426860875
0.29532      5.92157879036653
0.29808      5.769009949062781
0.30084      7.009815559427176
0.3036       5.629343645045165
0.30636      5.560133500135831
0.30912      6.775037734655438
0.31188      6.1513108074542915
0.31464      5.357897720124369
0.3174       7.124644878239747
0.32016      5.981236816720662
0.32292      5.396288337779057
0.32568      5.225040616683215
0.32844      5.332791031807463
0.3312       6.6040279134453135
0.33396      6.222252092818962
0.33672      5.6542894930097
0.33948      5.721687866892749
0.34224      5.0589133866458615
0.345        5.4823985760288245
0.34776      5.435571156747782
0.35052      5.904309311584378
0.35328      4.650771162398341
0.35604      4.8124116170569184
0.3588       5.689625049088306
0.36156      5.632170947725313
0.36432      4.706978784315176
0.36708      4.64052137034357
0.36984      5.740264286183674
0.3726       4.531787573524841
0.37536      4.901187170644207
0.37812      5.328524809118169
0.38088      4.4016341528017735
0.38364      5.182180610303813
0.3864       5.162287663023297
0.38916      4.234212607867638
0.39192      4.020556014824743
0.39468      4.174544499437077
0.39744      3.957557753680225
0.4002       3.990311893337522
0.40296      3.9090277070527355
0.40572      3.9684246094570534
0.40848      4.315604445583834
0.41124      4.651695404888954
0.414        3.6201534980725434
0.41676      4.549817061623014
0.41952      4.128979998811317
0.42228      3.584839405456294
0.42504      4.4001426779655946
0.4278       4.380548093541232
0.43056      3.6169382441659432
0.43332      3.5617674993711215
0.43608      3.5513803418165004
0.43884      3.497430732139815
0.4416       4.111219128720272
0.44436      3.4081734484755972
0.44712      4.2236599393645395
0.44988      3.164977670734173
0.45264      3.2800123093829012
0.4554       4.0798047383494564
0.45816      3.201932966044002
0.46092      4.1004213242994165
0.46368      3.748003174543212
0.46644      2.656071576453956
0.4692       3.077745673375202
0.47196      3.3926866547457157
0.47472      2.93608761822676
0.47748      2.8155250687866222
0.48024      2.782289784150995
0.483        3.166264529869886
0.48576      2.44475853689236
0.48852      2.415682710312279
0.49128      2.780772550466153
0.49404      3.5565990144046253
0.4968       2.7438499245752097
0.49956      2.57180419601612
0.50232      2.647404422552915
0.50508      2.6237967005069494
0.50784      2.5861523849285772
0.5106       2.4951754193832683
0.51336      2.5238019889902072
0.51612      3.004660032036614
0.51888      2.764393111094669
0.52164      2.3912021022497334
0.5244       2.8764626622343585
0.52716      2.841058237416369
0.52992      2.235979731658915
0.53268      2.5433180558147868
0.53544      1.9628176948498357
0.5382       2.1985574495854077
0.54096      2.2456394063239236
0.54372      2.202797791196712
0.54648      2.189286881671306
0.54924      2.0491638954164566
0.552        2.5396984146315704
0.55476      2.3516444122217055
0.55752      1.7757272940043705
0.56028      1.9485333860050646
0.56304      2.611135457126937
0.5658       1.9578676808665851
0.56856      1.6880902979781789
0.57132      1.8965004253419357
0.57408      1.9379198886050235
0.57684      2.0794297881861077
0.5796       2.2373096459868504
0.58236      1.857789965442904
0.58512      2.3582224419247355
0.58788      1.7246408971455027
0.59064      1.6725993869128792
0.5934       1.7717930805108497
0.59616      1.6300984236887686
0.59892      1.7122344025980039
0.60168      1.697862414122486
0.60444      2.154939051976746
0.6072       1.6153434636596342
